Pin#, PORT IO, Function, Pull Down, Pull Up, Direction, User Name
17, PA0, GPIO_PA0, false, false, Input, BT_RX
18, PA1, GPIO_PA1, false, false, Output, BT_TX
19, PA2, GPIO_PA2, false, false, Output, M1_IN1
20, PA3, GPIO_PA3, false, false, Output, M1_IN2
21, PA4, GPIO_PA4, false, false, Output, M2_IN1
22, PA5, GPIO_PA5, false, false, Output, M2_IN2
23, PA6, GPIO_PA6, false, false, Input, LINE1
24, PA7, GPIO_PA7, false, false, Input, LINE2
45, PB0, GPIO_PB0, false, false, Output, M3_PWM
46, PB1, GPIO_PB1, false, false, Output, M4_PWM
47, PB2, GPIO_PB2, false, false, Input, I2C_SCL
48, PB3, GPIO_PB3, false, false, Input, I2C_SDA
58, PB4, GPIO_PB4, false, false, Input, BTN_UP
57, PB5, GPIO_PB5, false, false, Input, BTN_OK
1, PB6, GPIO_PB6, false, false, Output, M1_PWM
4, PB7, GPIO_PB7, false, false, Output, M2_PWM
52, PC0, GPIO_PC0, false, false, Input, M4_ENCA
51, PC1, GPIO_PC1, false, false, Input, M4_ENCB
16, PC4, GPIO_PC4, false, false, Output, M3_IN1
15, PC5, GPIO_PC5, false, false, Input, BTN_DN
14, PC6, GPIO_PC6, false, false, Input, LINE3
13, PC7, GPIO_PC7, false, false, Output, M3_IN2
61, PD0, GPIO_PD0, false, false, Output, M4_IN1
62, PD1, GPIO_PD1, false, false, Output, M4_IN2
63, PD2, GPIO_PD2, false, false, Input, M1_ENCA
64, PD3, GPIO_PD3, false, false, Input, M1_ENCB
43, PD4, GPIO_PD4, false, false, Input, M2_ENCA
44, PD5, GPIO_PD5, false, false, Input, M2_ENCB
53, PD6, GPIO_PD6, false, false, Input, M3_ENCA
10, PD7, GPIO_PD7, false, false, Input, M3_ENCB
9, PE0, GPIO_PE0, false, false, Input, BAT_ADC
8, PE1, GPIO_PE1, false, false, Output, DBG_TX
7, PE2, GPIO_PE2, false, false, Input, LINE4
6, PE3, GPIO_PE3, false, false, Output, BUZZER
59, PE4, GPIO_PE4, false, false, Output, ULTRA_TRIG
60, PE5, GPIO_PE5, false, false, Input, ULTRA_ECHO
5, PF4, GPIO_PF4, false, false, Output, RGB_LED
50, PC2, GPIO_PC2, false, false, Input, LINE5
49, PC3, GPIO_PC3, false, false, Input, LINE6
