t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
1.1e-05,2026-07-13T18:03:24.013+08:00,record_start,,,,,,,,,,,,,,,,,,,,,recording started
0.001359,2026-07-13T18:03:24.014+08:00,cmd_set_angle,,,,,,,,,,,,,,,,,,30,0,0,set_angle
0.019467,2026-07-13T18:03:24.032+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.02116,2026-07-13T18:03:24.034+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.023441,2026-07-13T18:03:24.036+08:00,attitude,,,,,,,0.0,-2.0,-18.0,,,,,,,,,,,,
0.119127,2026-07-13T18:03:24.132+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.121369,2026-07-13T18:03:24.134+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.124253,2026-07-13T18:03:24.137+08:00,attitude,,,,,,,0.0,-2.0,-18.0,,,,,,,,,,,,
0.125533,2026-07-13T18:03:24.138+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
0.213007,2026-07-13T18:03:24.226+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.215752,2026-07-13T18:03:24.228+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.578019,2026-07-13T18:03:24.591+08:00,attitude,,,,,,,1.0,-2.0,-49.0,,,,,,,,,,,,
0.713283,2026-07-13T18:03:24.726+08:00,motor_rpm,,,,,,,,,,23,21,0,0,,,,,,,,
0.716235,2026-07-13T18:03:24.729+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
0.719131,2026-07-13T18:03:24.732+08:00,attitude,,,,,,,0.0,-5.0,-51.0,,,,,,,,,,,,
0.720433,2026-07-13T18:03:24.733+08:00,encoder,,,,,,,,,,,,,,-343,-343,0,0,,,,
0.721483,2026-07-13T18:03:24.734+08:00,motor_rpm,,,,,,,,,,4,1,0,0,,,,,,,,
0.722851,2026-07-13T18:03:24.736+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
0.788437,2026-07-13T18:03:24.801+08:00,attitude,,,,,,,-2.0,-6.0,-51.0,,,,,,,,,,,,
0.884977,2026-07-13T18:03:24.898+08:00,motor_rpm,,,,,,,,,,1,0,0,0,,,,,,,,
0.886636,2026-07-13T18:03:24.899+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
0.888863,2026-07-13T18:03:24.902+08:00,attitude,,,,,,,0.0,-2.0,-52.0,,,,,,,,,,,,
0.890653,2026-07-13T18:03:24.903+08:00,encoder,,,,,,,,,,,,,,-343,-338,0,0,,,,
0.976305,2026-07-13T18:03:24.989+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.978624,2026-07-13T18:03:24.991+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
0.981395,2026-07-13T18:03:24.994+08:00,attitude,,,,,,,1.0,-2.0,-52.0,,,,,,,,,,,,
1.113702,2026-07-13T18:03:25.126+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.115387,2026-07-13T18:03:25.128+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
1.117575,2026-07-13T18:03:25.130+08:00,attitude,,,,,,,1.0,-2.0,-52.0,,,,,,,,,,,,
1.118751,2026-07-13T18:03:25.131+08:00,encoder,,,,,,,,,,,,,,-343,-338,0,0,,,,
1.119801,2026-07-13T18:03:25.133+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.121353,2026-07-13T18:03:25.134+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
1.179022,2026-07-13T18:03:25.192+08:00,attitude,,,,,,,1.0,-2.0,-51.0,,,,,,,,,,,,
1.313133,2026-07-13T18:03:25.326+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.315028,2026-07-13T18:03:25.328+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
